Feature_Name,Assigned_Type
morgan_486,Numerical
morgan_487,Numerical
morgan_488,Numerical
morgan_489,Numerical
morgan_490,Numerical
morgan_491,Numerical
morgan_492,Numerical
morgan_493,Numerical
morgan_494,Numerical
morgan_495,Numerical
morgan_496,Numerical
morgan_497,Numerical
morgan_498,Numerical
morgan_499,Numerical
morgan_500,Numerical
morgan_501,Numerical
morgan_502,Numerical
morgan_503,Numerical
morgan_504,Numerical
morgan_505,Numerical
morgan_506,Numerical
morgan_507,Numerical
morgan_508,Numerical
morgan_509,Categorical
morgan_509,Categorical
morgan_510,Numerical
morgan_511,Numerical
nAcid,Numerical
nBase,Numerical
nAromAtom,Numerical
nAtom,Numerical
nHeavyAtom,Numerical
nSpiro,Numerical
nBridgehead,Numerical
nHetero,Numerical
nB,Numerical
nC,Numerical
nN,Numerical
nO,Numerical
nS,Numerical
nP,Numerical
nF,Numerical
nCl,Numerical
nBr,Categorical
nBr,Categorical
nI,Numerical
nX,Numerical
ATS0dv,Numerical
ATS1dv,Numerical
ATS3dv,Numerical
ATS0Z,Numerical
ATS1Z,Numerical
ATS0v,Numerical
ATS0p,Numerical
AATS0dv,Numerical
AATS0d,Numerical
AATS0Z,Numerical
AATS0v,Numerical
AATS0i,Numerical
ATSC1dv,Numerical
ATSC2dv,Numerical
ATSC3dv,Numerical
ATSC4dv,Numerical
ATSC5dv,Numerical
ATSC6dv,Numerical
ATSC7dv,Numerical
ATSC8dv,Numerical
ATSC0d,Numerical
ATSC1d,Numerical
ATSC2d,Numerical
ATSC3d,Numerical
ATSC4d,Numerical
ATSC5d,Numerical
ATSC6d,Numerical
ATSC7d,Numerical
ATSC8d,Numerical
ATSC0Z,Numerical
ATSC1Z,Numerical
ATSC2Z,Numerical
ATSC3Z,Numerical
ATSC4Z,Numerical
ATSC5Z,Numerical
ATSC6Z,Numerical
ATSC7Z,Numerical
ATSC8Z,Numerical
ATSC0v,Numerical
ATSC1v,Numerical
ATSC2v,Numerical
ATSC3v,Numerical
ATSC4v,Numerical
ATSC5v,Numerical
ATSC6v,Numerical
ATSC7v,Numerical
ATSC8v,Numerical
ATSC1p,Numerical
ATSC2p,Numerical
ATSC3p,Numerical
ATSC5p,Numerical
ATSC6p,Numerical
ATSC7p,Numerical
ATSC8p,Numerical
ATSC0i,Numerical
ATSC1i,Numerical
ATSC2i,Numerical
ATSC3i,Numerical
ATSC4i,Numerical
ATSC5i,Numerical
ATSC6i,Numerical
ATSC7i,Numerical
ATSC8i,Numerical
AATSC0dv,Numerical
AATSC0d,Numerical
AATSC0Z,Numerical
