record_seq_num;relative_time_sec;unix_timestamp_sec;run_id;run_name;device_id;item;cycle;section;humidity;temperature;1;105;106;24;25;34;36;55
10;140.193000;1775642495.751000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.824000;1.044000;1.268500;2.893500;2.496000;2.755500;1.425000;1.718000
10;140.526000;1775642496.084000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.826500;1.043000;1.257500;2.886500;2.501500;2.766500;1.421000;1.732500
10;140.859000;1775642496.417000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.829500;1.049000;1.259000;2.895500;2.507000;2.778500;1.433000;1.755500
10;141.192000;1775642496.750000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.841000;1.061000;1.266000;2.907500;2.522500;2.784500;1.438000;1.706500
10;141.525000;1775642497.083000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.836000;1.060500;1.277500;2.910500;2.535000;2.794000;1.441000;1.765000
10;141.858000;1775642497.416000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.850000;1.061000;1.283000;2.922000;2.544000;2.806500;1.449000;1.759000
10;142.191000;1775642497.749000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.850500;1.071500;1.293500;2.933500;2.551500;2.821000;1.468000;1.787500
10;142.524000;1775642498.082000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.862000;1.081000;1.298500;2.941000;2.569500;2.824500;1.448000;1.804500
10;142.857000;1775642498.415000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.864000;1.082000;1.294000;2.954500;2.570500;2.838500;1.460000;1.811000
10;143.190000;1775642498.748000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.869500;1.085500;1.296500;2.963500;2.587500;2.859000;1.478000;1.810000
10;143.523000;1775642499.081000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.875500;1.093500;1.301000;2.971500;2.589500;2.861000;1.480000;1.797500
10;143.856000;1775642499.414000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.876500;1.090500;1.312000;2.979000;2.598000;2.874500;1.503000;1.808000
10;144.189000;1775642499.747000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.885000;1.096500;1.324500;2.982000;2.605000;2.882000;1.489000;1.831500
10;144.522000;1775642500.080000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.886500;1.103500;1.328000;2.986500;2.617000;2.890500;1.501000;1.850000
10;144.855000;1775642500.413000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.885000;1.112000;1.326000;2.999500;2.623500;2.891500;1.497000;1.827000
10;145.188000;1775642500.746000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.889000;1.114000;1.324000;3.016000;2.630500;2.909500;1.509000;1.857000
10;145.521000;1775642501.079000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.890500;1.112000;1.336500;3.021500;2.638000;2.911000;1.512000;1.865500
10;145.854000;1775642501.412000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.895500;1.116000;1.338000;3.038500;2.648000;2.920000;1.523000;1.873000
10;146.187000;1775642501.745000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.904500;1.126000;1.342000;3.039000;2.655500;2.929000;1.514000;1.824000
10;146.520000;1775642502.078000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.900000;1.121500;1.344500;3.045500;2.672500;2.935000;1.533000;1.869500
10;146.853000;1775642502.411000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.910500;1.128000;1.346500;3.052500;2.668500;2.950000;1.542000;1.867000
10;147.186000;1775642502.744000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.910500;1.133500;1.357000;3.058500;2.676500;2.946500;1.522000;1.882000
10;147.519000;1775642503.077000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.913000;1.138000;1.356000;3.063500;2.684500;2.962500;1.527000;1.902000
10;147.852000;1775642503.410000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.921000;1.139500;1.362000;3.073500;2.693500;2.969500;1.526000;1.876500
10;148.185000;1775642503.743000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.923500;1.138500;1.369000;3.086500;2.696000;2.979500;1.538000;1.912000
10;148.518000;1775642504.076000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.920500;1.147000;1.366500;3.087000;2.712000;2.987000;1.541000;1.921500
10;148.851000;1775642504.409000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.933500;1.147500;1.372000;3.095500;2.710500;2.993500;1.560000;1.915500
10;149.184000;1775642504.742000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.931000;1.152000;1.379500;3.107500;2.720500;2.997500;1.545000;1.902500
10;149.517000;1775642505.075000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.937000;1.154500;1.382500;3.109500;2.726000;3.010500;1.544000;1.949500
10;149.850000;1775642505.408000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.270000;0.941000;1.161000;1.380000;3.128000;2.735000;3.021000;1.554000;1.935000
10;150.183000;1775642505.741000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.270000;0.938500;1.165500;1.386500;3.132000;2.740000;3.024000;1.558000;1.947500
10;150.516000;1775642506.074000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.951500;1.162500;1.391500;3.141000;2.750000;3.033000;1.575000;1.955000
10;150.849000;1775642506.407000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.952000;1.166000;1.402500;3.148500;2.757000;3.045500;1.586000;1.964000
10;151.182000;1775642506.740000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.950500;1.171000;1.408500;3.154000;2.770000;3.050500;1.581000;1.960000
10;151.515000;1775642507.073000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;0.954500;1.173500;1.410500;3.169000;2.772500;3.061500;1.584000;1.935500
10;151.848000;1775642507.406000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.957500;1.180000;1.414000;3.173500;2.779000;3.069500;1.585000;1.975500
10;152.181000;1775642507.739000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.960000;1.187000;1.420000;3.184500;2.787000;3.083000;1.601000;1.992500
10;152.514000;1775642508.072000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.972000;1.194500;1.411000;3.188500;2.802000;3.085000;1.591000;1.996000
10;152.847000;1775642508.405000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.975000;1.184500;1.426000;3.203000;2.803500;3.098500;1.613000;2.005000
10;153.180000;1775642508.738000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.970500;1.195000;1.426500;3.213500;2.811000;3.103000;1.626000;2.021500
10;153.513000;1775642509.071000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.975000;1.202500;1.439500;3.223500;2.820000;3.116500;1.631000;1.997000
10;153.846000;1775642509.404000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.980000;1.201500;1.444500;3.219000;2.830500;3.118000;1.609000;2.033500
10;154.179000;1775642509.737000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.987500;1.200500;1.441500;3.230000;2.842500;3.121500;1.638000;2.035500
10;154.512000;1775642510.070000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.995000;1.211000;1.445500;3.250500;2.840000;3.144000;1.622000;2.053500
10;154.845000;1775642510.403000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.995000;1.215000;1.451500;3.256000;2.845000;3.155000;1.633000;2.042500
10;155.178000;1775642510.736000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.997000;1.217000;1.448000;3.266000;2.854500;3.162000;1.632000;2.037000
10;155.511000;1775642511.069000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;0.996000;1.226000;1.463000;3.270000;2.855500;3.165000;1.655000;2.045500
10;155.844000;1775642511.402000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;1.001000;1.226000;1.470500;3.277500;2.869000;3.177000;1.641000;2.081500
10;156.177000;1775642511.735000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.300000;1.009500;1.238500;1.471000;3.284500;2.876000;3.188500;1.672000;2.117500
10;156.510000;1775642512.068000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;1.015500;1.241000;1.488000;3.300000;2.893000;3.195000;1.678000;2.100000
10;156.843000;1775642512.401000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;1.016500;1.234000;1.475500;3.303000;2.902500;3.206500;1.688000;2.085500
10;157.176000;1775642512.734000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;1.025500;1.244000;1.481500;3.320500;2.908500;3.211500;1.685000;2.102000
10;157.509000;1775642513.067000;2604081159;2604081159;NOA222-10002-3H5QU_fsp;A Pinene_080426;1;analyte;0.000000;27.290000;1.027000;1.244500;1.487000;3.331000;2.919000;3.233000;1.697000;2.102500
